kk	jj	i	j	k	| C[i][j] += A[i][k] * B[k][j]
--------------------|-----------------------------
0	0	0	0	0	| C[0][0] += A[0][0] * B[0][0]
0	0	0	0	1	| C[0][0] += A[0][1] * B[1][0]
0	0	0	1	0	| C[0][1] += A[0][0] * B[0][1]
0	0	0	1	1	| C[0][1] += A[0][1] * B[1][1]
0	0	1	0	0	| C[1][0] += A[1][0] * B[0][0]
0	0	1	0	1	| C[1][0] += A[1][1] * B[1][0]
0	0	1	1	0	| C[1][1] += A[1][0] * B[0][1]
0	0	1	1	1	| C[1][1] += A[1][1] * B[1][1]
0	0	2	0	0	| C[2][0] += A[2][0] * B[0][0]
0	0	2	0	1	| C[2][0] += A[2][1] * B[1][0]
0	0	2	1	0	| C[2][1] += A[2][0] * B[0][1]
0	0	2	1	1	| C[2][1] += A[2][1] * B[1][1]
0	0	3	0	0	| C[3][0] += A[3][0] * B[0][0]
0	0	3	0	1	| C[3][0] += A[3][1] * B[1][0]
0	0	3	1	0	| C[3][1] += A[3][0] * B[0][1]
0	0	3	1	1	| C[3][1] += A[3][1] * B[1][1]
0	2	0	2	0	| C[0][2] += A[0][0] * B[0][2]
0	2	0	2	1	| C[0][2] += A[0][1] * B[1][2]
0	2	0	3	0	| C[0][3] += A[0][0] * B[0][3]
0	2	0	3	1	| C[0][3] += A[0][1] * B[1][3]
0	2	1	2	0	| C[1][2] += A[1][0] * B[0][2]
0	2	1	2	1	| C[1][2] += A[1][1] * B[1][2]
0	2	1	3	0	| C[1][3] += A[1][0] * B[0][3]
0	2	1	3	1	| C[1][3] += A[1][1] * B[1][3]
0	2	2	2	0	| C[2][2] += A[2][0] * B[0][2]
0	2	2	2	1	| C[2][2] += A[2][1] * B[1][2]
0	2	2	3	0	| C[2][3] += A[2][0] * B[0][3]
0	2	2	3	1	| C[2][3] += A[2][1] * B[1][3]
0	2	3	2	0	| C[3][2] += A[3][0] * B[0][2]
0	2	3	2	1	| C[3][2] += A[3][1] * B[1][2]
0	2	3	3	0	| C[3][3] += A[3][0] * B[0][3]
0	2	3	3	1	| C[3][3] += A[3][1] * B[1][3]
2	0	0	0	2	| C[0][0] += A[0][2] * B[2][0]
2	0	0	0	3	| C[0][0] += A[0][3] * B[3][0]
2	0	0	1	2	| C[0][1] += A[0][2] * B[2][1]
2	0	0	1	3	| C[0][1] += A[0][3] * B[3][1]
2	0	1	0	2	| C[1][0] += A[1][2] * B[2][0]
2	0	1	0	3	| C[1][0] += A[1][3] * B[3][0]
2	0	1	1	2	| C[1][1] += A[1][2] * B[2][1]
2	0	1	1	3	| C[1][1] += A[1][3] * B[3][1]
2	0	2	0	2	| C[2][0] += A[2][2] * B[2][0]
2	0	2	0	3	| C[2][0] += A[2][3] * B[3][0]
2	0	2	1	2	| C[2][1] += A[2][2] * B[2][1]
2	0	2	1	3	| C[2][1] += A[2][3] * B[3][1]
2	0	3	0	2	| C[3][0] += A[3][2] * B[2][0]
2	0	3	0	3	| C[3][0] += A[3][3] * B[3][0]
2	0	3	1	2	| C[3][1] += A[3][2] * B[2][1]
2	0	3	1	3	| C[3][1] += A[3][3] * B[3][1]
2	2	0	2	2	| C[0][2] += A[0][2] * B[2][2]
2	2	0	2	3	| C[0][2] += A[0][3] * B[3][2]
2	2	0	3	2	| C[0][3] += A[0][2] * B[2][3]
2	2	0	3	3	| C[0][3] += A[0][3] * B[3][3]
2	2	1	2	2	| C[1][2] += A[1][2] * B[2][2]
2	2	1	2	3	| C[1][2] += A[1][3] * B[3][2]
2	2	1	3	2	| C[1][3] += A[1][2] * B[2][3]
2	2	1	3	3	| C[1][3] += A[1][3] * B[3][3]
2	2	2	2	2	| C[2][2] += A[2][2] * B[2][2]
2	2	2	2	3	| C[2][2] += A[2][3] * B[3][2]
2	2	2	3	2	| C[2][3] += A[2][2] * B[2][3]
2	2	2	3	3	| C[2][3] += A[2][3] * B[3][3]
2	2	3	2	2	| C[3][2] += A[3][2] * B[2][2]
2	2	3	2	3	| C[3][2] += A[3][3] * B[3][2]
2	2	3	3	2	| C[3][3] += A[3][2] * B[2][3]
2	2	3	3	3	| C[3][3] += A[3][3] * B[3][3]
